football_data_Date,football_data_Time,football_data_HomeTeam,football_data_AwayTeam,football_data_FTHG,football_data_FTAG,football_data_FTR,football_data_HTHG,football_data_HTAG,football_data_HTR,football_data_Referee,football_data_HS,football_data_AS,football_data_HST,football_data_AST,football_data_HF,football_data_AF,football_data_HC,football_data_AC,football_data_HY,football_data_AY,football_data_HR,football_data_AR,football_data_B365H,football_data_B365D,football_data_B365A,football_data_BWH,football_data_BWD,football_data_BWA,football_data_tournament_season
2023-11-01,19:45,Dundee,Rangers,0.0,5.0,A,0.0,1.0,A,K Clancy,9.0,32.0,4.0,11.0,13.0,3.0,6.0,7.0,4.0,1.0,0.0,0.0,8.0,4.75,1.4,6.75,4.8,1.4,23/24
2023-11-01,19:45,Hearts,Livingston,1.0,0.0,H,0.0,0.0,D,C Graham,25.0,3.0,10.0,0.0,9.0,12.0,12.0,1.0,2.0,4.0,0.0,0.0,1.62,4.0,5.25,1.65,3.7,5.25,23/24
2023-11-01,19:45,Motherwell,Aberdeen,2.0,4.0,A,0.0,2.0,A,C Steven,9.0,15.0,2.0,6.0,14.0,6.0,1.0,4.0,6.0,1.0,0.0,0.0,2.45,3.4,2.88,2.45,3.3,2.75,23/24
2023-11-01,19:45,St Johnstone,Kilmarnock,2.0,1.0,H,2.0,0.0,H,C Scott,15.0,23.0,4.0,5.0,13.0,9.0,5.0,12.0,2.0,2.0,1.0,0.0,3.5,3.2,2.2,3.2,3.2,2.2,23/24
2023-11-04,12:30,Ross County,Celtic,0.0,3.0,A,0.0,1.0,A,D Munro,3.0,39.0,0.0,16.0,9.0,10.0,2.0,13.0,0.0,1.0,1.0,0.0,15.0,6.5,1.2,11.0,6.5,1.23,23/24
2023-11-04,15:00,Kilmarnock,Motherwell,1.0,0.0,H,0.0,0.0,D,M MacDermid,20.0,11.0,8.0,1.0,9.0,12.0,9.0,3.0,2.0,1.0,0.0,0.0,2.2,3.6,3.2,2.05,3.3,3.2,23/24
2023-11-05,14:00,Dundee,Livingston,1.0,0.0,H,0.0,0.0,D,A Muir,10.0,16.0,3.0,3.0,14.0,14.0,5.0,12.0,2.0,3.0,0.0,0.0,2.05,3.3,3.8,2.05,3.3,3.5,23/24
2023-11-07,19:45,St Johnstone,Motherwell,2.0,2.0,D,2.0,0.0,H,E Anderson,10.0,11.0,3.0,5.0,11.0,18.0,6.0,7.0,1.0,2.0,0.0,0.0,2.75,3.2,2.63,2.7,3.1,2.6,23/24
2023-11-08,19:45,St Mirren,Hibernian,2.0,2.0,D,0.0,1.0,A,S McLean,18.0,9.0,4.0,4.0,9.0,9.0,3.0,1.0,3.0,2.0,0.0,0.0,2.45,3.3,2.9,2.45,3.25,2.8,23/24
2023-11-11,15:00,Dundee,St Mirren,4.0,0.0,H,2.0,0.0,H,M MacDermid,11.0,5.0,7.0,0.0,6.0,12.0,7.0,4.0,1.0,1.0,0.0,0.0,2.25,3.3,3.25,2.25,3.25,3.1,23/24
2023-11-11,15:00,Hibernian,Kilmarnock,1.0,0.0,H,1.0,0.0,H,D Dickinson,7.0,9.0,5.0,1.0,6.0,14.0,5.0,10.0,2.0,5.0,0.0,0.0,2.15,3.5,3.4,2.1,3.3,3.3,23/24
2023-11-11,15:00,Motherwell,Hearts,1.0,2.0,A,0.0,1.0,A,D Munro,8.0,14.0,1.0,3.0,13.0,12.0,4.0,10.0,4.0,2.0,0.0,0.0,3.0,3.3,2.4,2.87,3.3,2.35,23/24
2023-11-11,15:00,St Johnstone,Ross County,1.0,0.0,H,0.0,0.0,D,N Walsh,10.0,8.0,3.0,2.0,11.0,13.0,3.0,4.0,4.0,3.0,0.0,0.0,2.7,3.25,2.7,2.7,3.2,2.55,23/24
2023-11-12,12:00,Livingston,Rangers,0.0,2.0,A,0.0,1.0,A,S McLean,4.0,18.0,1.0,6.0,14.0,7.0,3.0,9.0,1.0,1.0,0.0,0.0,10.0,5.75,1.29,9.75,5.5,1.29,23/24
2023-11-12,14:30,Celtic,Aberdeen,6.0,0.0,H,2.0,0.0,H,W Collum,21.0,3.0,10.0,1.0,5.0,8.0,11.0,0.0,0.0,3.0,0.0,0.0,1.25,6.0,13.0,1.22,6.5,11.5,23/24
2023-11-25,15:00,Celtic,Motherwell,1.0,1.0,D,0.0,0.0,D,S McLean,20.0,6.0,4.0,2.0,8.0,9.0,13.0,2.0,1.0,4.0,0.0,0.0,1.14,7.5,19.0,1.14,8.5,16.5,23/24
2023-11-25,15:00,Dundee,Hibernian,1.0,2.0,A,0.0,1.0,A,D Robertson,19.0,10.0,7.0,3.0,6.0,9.0,7.0,3.0,2.0,1.0,0.0,1.0,2.55,3.4,2.63,2.55,3.3,2.65,23/24
2023-11-25,15:00,Hearts,St Johnstone,1.0,0.0,H,0.0,0.0,D,J Beaton,18.0,10.0,4.0,3.0,5.0,17.0,6.0,5.0,2.0,2.0,0.0,0.0,1.55,4.2,5.75,1.53,4.0,6.0,23/24
2023-11-25,15:00,Ross County,Kilmarnock,0.0,0.0,D,0.0,0.0,D,C Steven,15.0,13.0,5.0,1.0,10.0,9.0,9.0,5.0,1.0,0.0,0.0,0.0,2.8,3.3,2.5,2.95,3.25,2.35,23/24
2023-11-25,15:00,St Mirren,Livingston,1.0,0.0,H,1.0,0.0,H,D Munro,15.0,11.0,1.0,1.0,13.0,10.0,7.0,3.0,1.0,0.0,0.0,0.0,1.73,3.6,5.0,1.73,3.5,4.6,23/24
2023-11-26,12:00,Aberdeen,Rangers,1.0,1.0,D,1.0,0.0,H,N Walsh,5.0,22.0,4.0,10.0,16.0,11.0,0.0,5.0,4.0,1.0,0.0,0.0,6.5,4.33,1.5,5.5,4.33,1.53,23/24
2023-11-28,19:45,Ross County,St Mirren,1.0,0.0,H,0.0,0.0,D,W Collum,6.0,6.0,2.0,1.0,11.0,14.0,7.0,5.0,0.0,2.0,0.0,0.0,2.75,3.0,2.8,2.65,3.0,2.7,23/24
2023-12-02,15:00,Kilmarnock,Hearts,0.0,1.0,A,0.0,1.0,A,D Dickinson,17.0,11.0,3.0,1.0,14.0,12.0,7.0,3.0,2.0,1.0,0.0,0.0,2.8,3.4,2.4,2.75,3.3,2.4,23/24
2023-12-02,15:00,Motherwell,Dundee,3.0,3.0,D,1.0,2.0,A,I Snedden,9.0,16.0,4.0,4.0,6.0,9.0,4.0,4.0,3.0,2.0,1.0,0.0,2.25,3.3,3.2,2.25,3.3,3.1,23/24
2023-12-03,12:00,St Johnstone,Celtic,1.0,3.0,A,1.0,0.0,H,D Robertson,5.0,25.0,3.0,7.0,8.0,7.0,2.0,12.0,2.0,1.0,0.0,0.0,13.0,6.5,1.22,11.5,6.5,1.22,23/24
2023-12-03,15:00,Hibernian,Aberdeen,2.0,0.0,H,1.0,0.0,H,W Collum,11.0,23.0,3.0,5.0,13.0,13.0,6.0,6.0,3.0,2.0,0.0,0.0,2.0,3.6,3.6,2.1,3.5,3.25,23/24
